Численность населения,Заболеваемость населения алкоголизмом, тыс.,Заболеваемость населения наркоманией, тыс.,РЕАЛЬНЫЕ РАСПОЛАГАЕМЫЕ ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ, % к предыдущему году
142.7,159.7,25.2,103,13,95.3,92.2
142.9,153.9,24.9,105.9,12.5,97.1,104.5
142.9,138.1,21.9,100.5,12.7,98.5,104.2
143,122.8,19.8,104.6,10.7,99.6,103.8
143.3,112.2,18.1,104,10.8,100.3,101.5
143.7,109.1,21.2,98.8,11.3,100.2,99
146.3,103.6,20.6,97.6,13.4,100.8,97.8
146.5,95,16.3,95.5,13.2,100.5,100
146.8,78.2,16.4,99.5,12.9,101.1,101.7
146.9,75.8,15.1,100.7,12.6,99.6,102.8
146.8,70.9,14.4,101.2,12.3,100,102.2
146.7,54.9,12.2,98,12.1,100,97.5
146.2,53.3,12.9,103.3,11,100,106.1
